TechRep,Sample.Name,Standard,TissueWeight,Solvent,Area.Xanthophyll,Lutein Conversion,ug/g dry Lutein,Area.Lycopene,Lycopene Conversion,ug/g dry Lycopene,Area.zeta-Carotene,Zeta Conversion,ug/g dry Zeta,Area.alpha-Carotene,Alpha Conversion,ug/g dry Alpha,Area.beta-Carotene,Beta Conversion,ug/g dry Beta,Area.Phytoene,Phytoene Conversion,ug/g dry Phytoene,Total
80031B,80031,66860.04298,0.102,1.827010622,83021,1.241713231,22.24140454,12520,0.187256834,3.354119859,45852,0.685790765,12.28379423,366155,5.476439794,98.09327132,439860,6.578817189,117.8389106,70722,1.057761809,18.94649079,272.7579914
80032,80032,66860.04298,0.101,1.789074355,133320,1.994016068,35.32121793,31672,0.473705947,8.391041211,105668,1.580435718,27.99521794,531411,7.948110356,140.789707,1199245,17.93664716,317.7227272,70748,1.058150681,18.74366581,548.9635771
80032B,80032,66860.04298,0.101,1.789074355,141037,2.109436275,37.36572617,34049,0.509257824,9.020793198,108285,1.619577182,28.68855448,548356,8.201550217,145.2790412,1241109,18.56279094,328.8139924,72386,1.082649618,19.17763037,568.3457378
80033,80033,66860.04298,0.102,1.784522003,66282,0.991354433,17.34405685,19377,0.289814352,5.070393011,,0,0,495427,7.40991148,129.6387262,651351,9.742006899,170.4394673,25791,0.385746088,6.748748833,329.2413922
80033B,80033,66860.04298,0.102,1.784522003,67280,1.006281136,17.6052042,19965,0.298608842,5.224255378,,0,0,490016,7.328981229,128.2228261,657925,9.840331694,172.1596904,26199,0.391848387,6.855510476,330.0674866
80034,80034,66860.04298,0.1,1.814871017,1697,0.025381378,0.460639266,,0,0,,0,0,10179,0.152243396,2.763021269,15859,0.237196976,4.304819167,,0,0,7.528479702
80034B,80034,66860.04298,0.1,1.814871017,4533,0.067798341,1.230452442,,0,0,,0,0,10125,0.151435739,2.748363331,16325,0.244166759,4.431311741,,0,0,8.410127515
80035,80035,66860.04298,0.102,1.861911988,111941,1.674258571,30.56198141,23067,0.345004265,6.297721346,118162,1.76730368,32.26043047,392602,5.871997422,107.1876705,860567,12.87117031,234.950846,68795,1.028940409,18.78231846,430.0409682
80035B,80035,66860.04298,0.102,1.861911988,125202,1.872598258,34.18248181,26763,0.400283919,7.306798299,127717,1.910214147,34.86912373,422677,6.321817653,115.3987066,938849,14.04200414,256.3232925,76197,1.139649282,20.80320256,468.8836055
80036,80036,66860.04298,0.102,1.846737481,178124,2.664132299,48.23483304,35716,0.534190503,9.671662982,185117,2.768723916,50.12849245,519358,7.767838261,140.6388045,1295372,19.3743818,350.7784024,150825,2.255831634,40.8424395,640.2946349
80036B,80036,66860.04298,0.102,1.846737481,191947,2.870877604,51.9780125,37790,0.565210525,10.23328884,194717,2.912307431,52.72811068,554293,8.290347647,150.0989778,1362995,20.38579306,369.0902757,160036,2.393597025,43.33671903,677.4653845
80037,80037,66860.04298,0.1,1.779969651,103216,1.543762095,27.47849677,16900,0.252766813,4.499172564,94566,1.414387365,25.17566584,532887,7.970186321,141.8668976,855406,12.79397921,227.7289471,56442,0.84418133,15.02617147,441.7753514
80037B,80037,66860.04298,0.1,1.779969651,118767,1.776352433,31.6185342,19705,0.294720122,5.245928721,103588,1.549325956,27.57753181,591267,8.843353573,157.4090097,949186,14.19661068,252.6953615,61866,0.925306016,16.47016626,491.0165322
80038,80038,66860.04298,0.1,1.796661608,184912,2.765657809,49.68951208,23702,0.354501716,6.369196241,168082,2.513937959,45.16695817,439655,6.575751082,118.1439952,885528,13.2445024,237.9588899,49723,0.743687826,13.36155365,470.6901053
80038B,80038,66860.04298,0.1,1.796661608,190692,2.852107051,51.24271242,25069,0.374947411,6.736536182,171637,2.56710873,46.12225699,448034,6.701072569,120.3955982,907562,13.57405649,243.8798616,52447,0.784429648,14.09354634,482.4705117
80039,80039,66860.04298,0.102,1.786039454,164951,2.467108794,43.19954552,25354,0.379210046,6.640040236,120206,1.797875003,31.48113421,590261,8.828307217,154.5853431,1054110,15.76591867,276.0642429,38083,0.569592814,9.973678801,521.9439848
80039B,80039,66860.04298,0.102,1.786039454,196110,2.933141997,51.35987579,32838,0.491145362,8.600048958,136902,2.047590667,35.8537031,672093,10.05223703,176.0165876,1205670,18.03274342,315.7567765,42486,0.635446795,11.12679457,598.7137865
80040,80040,66860.04298,0.1,1.792109256,10376,0.155189849,2.781171656,,0,0,,0,0,13847,0.207104264,3.711534688,35538,0.531528225,9.525566529,543,0.008121443,0.145545124,16.163818
80040B,80040,66860.04298,0.1,1.792109256,9871,0.147636758,2.64581201,,0,0,,0,0,14053,0.210185327,3.766750702,34534,0.516511783,9.256455471,,0,0,15.66901818
80041,80041,66860.04298,0.1,1.837632777,172633,2.582005519,47.44777973,26294,0.393269266,7.226844926,96455,1.442640413,26.51043308,605064,9.049710007,166.3004373,1117330,16.71147595,307.0955595,68122,1.018874607,18.72317373,573.3042283
80041B,80041,66860.04298,0.1,1.837632777,173180,2.590186788,47.59812141,26606,0.39793573,7.312597403,94237,1.409466638,25.90082092,604930,9.04770582,166.2636077,1116596,16.70049779,306.8938213,67217,1.005338869,18.47443658,572.4434053
80042,80042,66860.04298,0.1,1.790591806,58503,0.875006916,15.66780213,9488,0.141908374,2.540999721,61072,0.913430463,16.35581102,273065,4.084128395,73.13006837,625817,9.360104662,167.6012671,24528,0.366855881,6.568891352,281.8648397
80042B,80042,66860.04298,0.1,1.790591806,64745,0.968366114,17.33948429,10847,0.162234416,2.904956152,67224,1.005443565,18.00339009,292059,4.368214362,78.21688843,679081,10.15675387,181.8660025,26511,0.396514851,7.099962436,305.4306838
80043,80043,66860.04298,0.1,1.781487102,25996,0.388812194,6.926639085,2486,0.037182148,0.662395167,14749,0.220595132,3.929873822,515523,7.710479638,137.3612002,524290,7.841604292,139.697169,35998,0.538408269,9.591673865,298.1689512
80043B,80043,66860.04298,0.1,1.781487102,27442,0.410439461,7.311926057,5088,0.076099263,1.355698556,21507,0.321671944,5.730544192,535998,8.016716354,142.8167678,549153,8.21347064,146.32192,38270,0.572389701,10.19704869,313.7339054
80044,80044,66860.04298,0.1,1.781487102,56117,0.83932043,14.9523852,1631,0.024394241,0.434580257,32970,0.493119635,8.784862696,158970,2.377653273,42.35758637,361203,5.402374631,96.24260723,18896,0.282620219,5.034842751,167.8068645
80044B,80044,66860.04298,0.1,1.781487102,66379,0.992805225,17.68669702,7771,0.116227864,2.07058441,37332,0.558360395,9.947118416,181473,2.714222006,48.35351495,417128,6.23882339,111.143834,23206,0.347083235,6.183243061,195.3849919
80045,80045,66860.04298,0.102,1.781487102,20036,0.299670762,5.233917613,2331,0.034863872,0.608917047,,0,0,256726,3.839752243,67.0634225,267287,3.997709066,69.82222684,17691,0.264597497,4.621343406,147.3498274
80045B,80045,66860.04298,0.102,1.781487102,21292,0.318456272,5.56201706,2671,0.039949122,0.697733776,,0,0,266416,3.984681854,69.59469928,277252,4.146751747,72.42534069,19509,0.291788625,5.096251683,153.3760425
80046,80046,66860.04298,0.1,1.801213961,113283,1.69433035,30.5185148,17451,0.261007909,4.701310891,21610,0.323212475,5.82174823,570038,8.525839569,153.5686126,619506,9.265713457,166.8953243,29922,0.447531869,8.061006503,369.5665173
80046B,80046,66860.04298,0.1,1.801213961,118968,1.779358713,32.05005754,20113,0.300822421,5.418455444,23709,0.354606413,6.387220212,589278,8.813604864,158.7518812,637532,9.53532142,171.7515406,31399,0.469622791,8.458911276,382.8180663
80047,80047,66860.04298,0.101,1.807283763,171457,2.564416539,45.88740963,32655,0.488408301,8.739528637,198995,2.976291835,53.25746443,1402625,20.97852376,375.3875778,1993120,29.81033082,533.4230383,92992,1.390845651,24.88765111,1041.58267
80047B,80047,66860.04298,0.101,1.807283763,172965,2.586971116,46.29099895,34526,0.51639213,9.240268434,194298,2.906040609,52.00039611,1418164,21.21093461,379.5463142,1984347,29.67911643,531.0751013,93506,1.398533352,25.02521405,1043.178293
80048,80048,66860.04298,0.1,1.784522003,79444,1.188213415,21.20392983,28227,0.422180405,7.533902213,77112,1.153334586,20.58150946,1331664,19.91718732,355.42659,1970604,29.47356765,525.9622998,87562,1.309631225,23.37065737,954.0788888
80048B,80048,66860.04298,0.1,1.784522003,91250,1.364791226,24.35499972,34270,0.512563236,9.146803729,82145,1.228611235,21.92483783,1452431,21.72345298,387.6597983,2169080,32.442097,578.9363593,95614,1.430061899,25.51976924,1047.542568
80049,80049,66860.04298,0.102,1.810318665,180256,2.696019804,47.84955855,48966,0.732365667,12.9981886,103472,1.547590988,27.46698874,1847043,27.6255132,490.3037468,981280,14.67662832,260.4840605,68929,1.030944596,18.29743377,857.3999769
80049B,80049,66860.04298,0.102,1.810318665,190356,2.847081628,50.53063736,49852,0.745617229,13.23338026,107769,1.611859568,28.60764177,1904595,28.48629638,505.5811178,1021366,15.27617923,271.1250234,71219,1.065195247,18.90532193,887.9831225
80050,80050,66860.04298,0.1,1.808801214,54809,0.819757176,14.82777775,7713,0.115360381,2.086639963,,0,0,172165,2.575005823,46.57673659,314573,4.704947619,85.10314964,14320,0.214178744,3.874067714,152.4683717
80050B,80050,66860.04298,0.1,1.808801214,67955,1.016376852,18.38423684,9543,0.142730988,2.581719846,,0,0,205604,3.075140111,55.62317166,379259,5.672431292,102.6030061,16563,0.247726434,4.480878739,183.6730132
80051,80051,66860.04298,0.102,1.810318665,5262,0.078701714,1.396815513,1132,0.01693089,0.300493189,,0,0,29525,0.441594092,7.837510076,32765,0.490053529,8.697578921,991,0.014822007,0.263064267,18.49546197
80051B,80051,66860.04298,0.102,1.810318665,6389,0.095557821,1.695981435,,0,0,,0,0,36466,0.545407965,9.680021759,40405,0.604322076,10.72564249,,0,0,22.10164569
80052,80052,66860.04298,0.102,1.802731411,52011,0.777908564,13.74862944,19347,0.289365653,5.114201491,,0,0,236487,3.537045288,62.51316318,476874,7.13242138,126.0572555,22316,0.333771846,5.899029331,213.3322789
80052B,80052,66860.04298,0.102,1.802731411,52324,0.782589985,13.83136811,20029,0.299566065,5.294481918,,0,0,242011,3.619665636,63.97338177,486392,7.274778452,128.5732512,22287,0.333338105,5.891363448,217.5638465
80053,80053,66860.04298,0.102,1.781487102,132563,1.982693909,34.62885908,35750,0.534699028,9.338817861,83520,1.249176583,21.81756833,1491295,22.30472691,389.5645422,2130313,31.86227386,556.4924502,93432,1.397426562,24.40683721,1036.249075
80053B,80053,66860.04298,0.102,1.781487102,136797,2.046020222,35.73488859,36874,0.551510265,9.632435519,79114,1.183277732,20.66660801,1515994,22.67414037,396.0165551,2167057,32.41183977,566.0909264,95847,1.43354679,25.03769722,1053.179111
80054,80054,66860.04298,0.102,1.790591806,32895,0.491997889,8.63693518,,0,0,,0,0,,0,0,,0,0,,0,0,8.63693518
80054B,80054,66860.04298,0.102,1.790591806,34934,0.522494429,9.172296507,,0,0,,0,0,,0,0,,0,0,,0,0,9.172296507
80056,80056,66860.04298,0.1,1.801213961,64812,0.969368207,17.46039548,,0,0,,0,0,78774,1.178192482,21.22176747,147542,2.206729063,39.74791195,7993,0.119548233,2.153319463,80.58339437
80056B,80056,66860.04298,0.1,1.801213961,66777,0.998757958,17.98976777,2052,0.030690976,0.552810151,,0,0,82554,1.234728491,22.24010196,151646,2.268111016,40.85353226,9062,0.135536856,2.441308767,84.07752091
80057,80057,66860.04298,0.1,1.807283763,22179,0.33172279,5.995172124,,0,0,,0,0,857,0.01281782,0.231654381,7093,0.106087278,1.917298159,,0,0,8.144124664
80057B,80057,66860.04298,0.1,1.807283763,25466,0.380885187,6.883676149,,0,0,,0,0,,0,0,10894,0.162937377,2.944740751,,0,0,9.8284169
80059,80059,66860.04298,0.1,1.781487102,119782,1.791533398,31.91593641,,0,0,,0,0,,0,0,12463,0.186404307,3.320768692,,0,0,35.2367051
80059B,80059,66860.04298,0.1,1.781487102,122225,1.828072411,32.56687422,,0,0,,0,0,,0,0,13301,0.198937952,3.54405395,,0,0,36.11092817
80060,80060,66860.04298,0.101,1.801213961,94603,1.41494076,25.23377277,,0,0,,0,0,,0,0,6896,0.103140825,1.839393011,,0,0,27.07316578
80060B,80060,66860.04298,0.101,1.801213961,95693,1.431243471,25.52451209,,0,0,,0,0,,0,0,8445,0.126308624,2.252562932,,0,0,27.77707502
80061,80061,66860.04298,0.103,1.796661608,16521,0.247098256,4.310213103,,0,0,,0,0,,0,0,950,0.014208785,0.247848341,,0,0,4.558061445
80061B,80061,66860.04298,0.103,1.796661608,16476,0.246425208,4.298472919,,0,0,,0,0,,0,0,1214,0.018157332,0.316724091,,0,0,4.61519701
80062,80062,66860.04298,0.1,1.814871017,8933,0.133607452,2.424802927,,0,0,,0,0,,0,0,,0,0,,0,0,2.424802927
80062B,80062,66860.04298,0.1,1.814871017,8906,0.133203624,2.417473958,,0,0,,0,0,,0,0,,0,0,,0,0,2.417473958
80063,80063,49643.97087,0.1,1.529590288,48419,0.975324881,14.91847467,,0,0,,0,0,83064,1.673194117,25.59301472,147445,2.970048476,45.42957304,,0,0,85.94106242
80063B,80063,49643.97087,0.1,1.529590288,53620,1.080090876,16.52096515,,0,0,,0,0,89860,1.810088887,27.68694383,157937,3.181393374,48.66228409,,0,0,92.87019307
80064,80064,49643.97087,0.1,1.722306525,15185,0.30587803,5.268157266,,0,0,,0,0,,0,0,,0,0,,0,0,5.268157266
80064B,80064,49643.97087,0.1,1.722306525,15151,0.305193153,5.256361589,,0,0,,0,0,,0,0,,0,0,,0,0,5.256361589
80065,80065,49643.97087,0.1,1.722306525,29384,0.591894635,10.19423991,,0,0,,0,0,301753,6.078341332,104.6876694,295414,5.95065211,102.4884696,14066,0.283337528,4.879940737,222.2503196
80065B,80065,49643.97087,0.1,1.722306525,31842,0.641407193,11.04699794,,0,0,,0,0,318078,6.407182875,110.3513287,304314,6.129928663,105.5761614,14811,0.298344386,5.138404825,232.1128928
80066,80066,49643.97087,0.1,1.880121396,22251,0.448211527,8.426920823,,0,0,,0,0,,0,0,17655,0.355632309,6.686319137,,0,0,15.11323996
80066B,80066,49643.97087,0.1,1.880121396,23124,0.465796744,8.75754425,,0,0,,0,0,,0,0,18934,0.38139576,7.170703288,,0,0,15.92824754
80067,80067,49643.97087,0.1,1.676783005,41200,0.829909439,13.91578042,,0,0,,0,0,8869,0.178652107,2.995608169,18403,0.370699597,6.215827842,,0,0,23.12721643
80067B,80067,49643.97087,0.1,1.676783005,44223,0.890803037,14.93683392,,0,0,,0,0,10433,0.210156436,3.523867406,20112,0.405124724,6.79306252,,0,0,25.25376385
80068,80068,49643.97087,0.1,1.763277693,3608,0.072677506,1.281506255,,0,0,,0,0,,0,0,,0,0,,0,0,1.281506255
80068B,80068,49643.97087,0.1,1.763277693,4014,0.08085574,1.425711227,,0,0,,0,0,,0,0,,0,0,,0,0,1.425711227
80069,80069,49643.97087,0.101,1.719271624,33910,0.683063812,11.62744782,,0,0,,0,0,34976,0.704536712,11.99297006,81267,1.636996368,27.86575647,,0,0,51.48617435
80069B,80069,49643.97087,0.101,1.719271624,35884,0.722826949,12.30431547,,0,0,,0,0,36437,0.733966267,12.49393442,84552,1.703167545,28.99215476,,0,0,53.79040465
80070,80070,49643.97087,0.1,1.716236722,18893,0.380569879,6.531480022,,0,0,,0,0,,0,0,,0,0,,0,0,6.531480022
80070B,80070,49643.97087,0.1,1.716236722,20269,0.408287243,7.007175598,,0,0,,0,0,,0,0,,0,0,,0,0,7.007175598
80071,80071,49643.97087,0.102,1.663125948,17656,0.355652453,5.79896885,,0,0,,0,0,46986,0.946459342,15.43216756,70751,1.425168027,23.23758751,,0,0,44.46872392
80071B,80071,49643.97087,0.102,1.663125948,19342,0.389614281,6.352721765,,0,0,,0,0,51112,1.029571146,16.78731852,75941,1.529712444,24.94220058,,0,0,48.08224087
80072,80072,49643.97087,0.1,1.681335357,8489,0.170997603,2.875043151,,0,0,,0,0,,0,0,,0,0,,0,0,2.875043151
80072B,80072,49643.97087,0.1,1.681335357,9784,0.197083348,3.313632016,,0,0,,0,0,,0,0,,0,0,,0,0,3.313632016
80076,80076,49643.97087,0.1,1.6676783,12265,0.247059205,4.120152759,,0,0,,0,0,,0,0,,0,0,,0,0,4.120152759
80076B,80076,49643.97087,0.1,1.6676783,13199,0.265873172,4.433909194,,0,0,,0,0,,0,0,,0,0,,0,0,4.433909194
80077,80077,49643.97087,0.1,1.708649469,21986,0.442873517,7.567156004,,0,0,,0,0,138735,2.794599174,47.74990395,251243,5.060896532,86.47298171,,0,0,141.7900417
80077B,80077,49643.97087,0.1,1.708649469,24075,0.484953149,8.286149404,,0,0,,0,0,148943,3.000223338,51.26330013,267350,5.385346807,92.01669961,,0,0,151.5661492
80079,80079,49643.97087,0.102,1.702579666,41670,0.839376852,14.01084275,,0,0,,0,0,,0,0,26925,0.542361933,9.053082341,,0,0,23.06392509
80079B,80079,49643.97087,0.102,1.702579666,45467,0.915861467,15.2875207,,0,0,,0,0,,0,0,28980,0.583756688,9.744041828,,0,0,25.03156253
80080,80080,49643.97087,0.1,1.707132018,121637,2.450186757,41.82792264,,0,0,,0,0,255638,5.14942692,87.9075157,227317,4.578944754,78.168632,,0,0,207.9040703
80080B,80080,49643.97087,0.1,1.707132018,129683,2.612260819,44.59474084,,0,0,,0,0,271646,5.471882995,93.41226661,241521,4.865062076,83.05303241,,0,0,221.0600399
80081,80081,49643.97087,0.1,1.789074355,71782,1.445935906,25.86886849,,0,0,,0,0,,0,0,,0,0,,0,0,25.86886849
80081,80081,49643.97087,0.1,1.789074355,71700,1.444284145,25.83931725,,0,0,,0,0,,0,0,,0,0,,0,0,25.83931725
80081B,80081,49643.97087,0.1,1.789074355,71957,1.449461007,25.93193516,,0,0,,0,0,,0,0,,0,0,,0,0,25.93193516
80083,80083,49643.97087,0.101,1.781487102,64007,1.289320715,22.74166558,,0,0,,0,0,46326,0.933164676,16.45961222,63005,1.269136995,22.38565531,,0,0,61.58693311
80083B,80083,49643.97087,0.101,1.781487102,65646,1.322335801,23.32400172,,0,0,,0,0,46739,0.941483914,16.60635098,65009,1.309504435,23.09767584,,0,0,63.02802854
80084,80084,49643.97087,0.1,1.795144158,38799,0.781545056,14.02986042,,0,0,,0,0,67970,1.36914914,24.57820079,76265,1.536238916,27.57770315,,0,0,66.18576436
80084B,80084,49643.97087,0.1,1.795144158,41120,0.828297964,14.86914251,,0,0,,0,0,71406,1.438361975,25.82067097,80232,1.616147915,29.01218487,,0,0,69.70199835
80085,80085,49643.97087,0.101,1.772382398,16922,0.340867173,5.981653239,,0,0,,0,0,,0,0,,0,0,,0,0,5.981653239
80085B,80085,49643.97087,0.101,1.772382398,17573,0.353980548,6.211771207,,0,0,,0,0,,0,0,,0,0,,0,0,6.211771207
