SampleID,Genotype,Location,Year,Trial,Plot,Sample,2,Seed Size,ConvZeta,gramtissue,ug_gramdryZeta,ug_gramfreshZeta,ConvAlpha,ug_gramdryAlpha,ug_gramfreshAlpha,ConvBeta,ug_gramdryBeta,ug_gramfreshBeta,ConvPhyto,ug_gramdryPhyto,ug_gramfreshPhyto,avg.ug.fresh450,avg.ug.dry450,Group.Beta,Group.Alpha
24059_1,Brava,Hancock,2022,WI_22,24059,1,82,Control,NA,0.000530875,NA,NA,0.087532638,164.8836137,14.77137217,0.211848371,399.0548662,35.74999245,0.022432231,42.25517964,3.785500393,57.23506706,638.8793525,C,NA
24059_2,Brava,Hancock,2022,WI_22,24059,2,82,Control,NA,0.00053245,NA,NA,0.091762092,172.3392995,20.05572363,0.168215446,315.9271045,36.76553585,0.013871769,26.0527079,3.031844221,65.97602538,566.9335204,C,NA
24059_3,Brava,Hancock,2022,WI_22,24059,3,82,Control,NA,0.000535795,NA,NA,0.086947864,162.278313,14.03126947,0.188514543,351.8409851,30.42166006,0.013951425,26.03874939,2.251420431,51.53830406,596.0650285,C,NA
24059_4,Brava,Hancock,2022,WI_22,24059,4,82,Control,NA,0.000531972,NA,NA,0.125062463,235.0921857,23.6703255,0.293499843,551.7204622,55.55013615,0.0187976,35.33569315,3.557784603,85.60969147,850.2700771,C,NA
24059_5,Brava,Hancock,2022,WI_22,24059,5,82,Control,NA,0.000532885,NA,NA,0.1611184,302.3512078,32.76976151,0.265412613,498.0674106,53.98209051,0.023867085,44.78844102,4.85431013,94.35308018,870.5515827,C,NA
24059_6,Brava,Hancock,2022,WI_22,24059,6,82,Control,NA,0.000538501,NA,NA,0.102730938,190.7721324,14.79728192,0.232228711,431.2504809,33.4500373,0.011399069,21.16815764,1.641912749,55.40674588,714.3246385,C,NA
24059_7,Brava,Hancock,2022,WI_22,24059,7,82,Control,NA,0.00052461,NA,NA,0.12874311,245.4071287,20.82059427,0.219116999,417.6757393,35.43604112,0.012184726,23.22624283,1.970538431,62.88628574,741.2248959,C,NA
24059_8,Brava,Hancock,2022,WI_22,24059,8,82,Control,NA,0.000527276,NA,NA,0.14287405,270.9662584,25.69589212,0.191267148,362.7456733,34.39938886,0.022060506,41.83861825,3.967581158,68.19187004,719.0914325,C,NA
24059_9,Brava,Hancock,2022,WI_22,24059,9,82,Control,NA,0.000497478,NA,NA,0.176921996,355.6380486,34.67363292,0.304594254,612.2772125,59.69517433,0.030572625,61.45526799,5.991702551,102.2802333,1049.060612,C,NA
24059_10,Brava,Hancock,2022,WI_22,24059,10,82,Control,0.013891099,0.000549809,25.26530184,2.411571784,0.104855715,190.7128668,18.20353349,0.159980164,290.973895,27.77344357,0.017322865,31.50704121,3.00734549,52.14884292,546.3475175,C,NA
24114_1,Brava,Hancock,2022,WI_22,24114,1,102,Large,0.017866887,0.00052201,34.22709784,3.978943945,0.089561257,171.5700063,19.94523289,0.176373083,337.8730039,39.27816928,0.013979034,26.77924653,3.113121694,69.9962574,602.111712,C,NA
24114_2,Brava,Hancock,2022,WI_22,24114,2,102,Large,0.021834756,0.000529415,41.24315591,4.675527437,0.122677246,231.7221627,26.26916651,0.197888272,373.7865014,42.37428016,0.015933605,30.0966107,3.411900132,78.21505592,689.9405016,C,NA
24114_3,Brava,Hancock,2022,WI_22,24114,3,102,Large,0.013872754,0.00054004,25.6883805,3.211047563,0.163243705,302.2807523,37.78509404,0.232127475,429.8338353,53.72922942,0.018714665,34.65421857,4.331777322,100.5455604,804.3644836,C,NA
24114_4,Brava,Hancock,2022,WI_22,24114,4,102,Large,NA,0.000546467,NA,NA,0.159214182,291.3519068,33.5235505,0.171163116,313.217702,36.03947393,0.015902821,29.10115967,3.348439372,77.50526273,673.5953009,C,NA
24114_5,Brava,Hancock,2022,WI_22,24114,5,102,Large,0.012073324,0.000527942,22.86865878,2.763166071,0.148116175,280.5539192,33.89866796,0.212692739,402.8714734,48.67800938,0.028561989,54.10062723,6.536851114,90.28572806,747.2274392,C,NA
24114_6,Brava,Hancock,2022,WI_22,24114,6,102,Large,NA,0.000532165,NA,NA,0.131888173,247.8330227,31.04775008,0.224802888,422.430441,52.92077146,0.03896489,73.21950331,9.172711589,96.14647606,767.4717726,C,NA
24114_7,Brava,Hancock,2022,WI_22,24114,7,102,Large,0.033825877,0.000561958,60.1929107,7.442136282,0.181131563,322.3223472,39.85131815,0.293553899,522.3771068,64.58570577,0.033281012,59.22332741,7.32225886,112.7083298,911.5987903,C,NA
24114_8,Brava,Hancock,2022,WI_22,24114,8,102,Large,NA,0.000557507,NA,NA,0.186714418,334.9097486,40.43162637,0.185460137,332.6599449,40.1600212,0.018166916,32.58600619,3.933911249,89.967969,745.2371469,C,NA
24114_9,Brava,Hancock,2022,WI_22,24114,9,102,Large,NA,0.000556039,NA,NA,0.190857129,343.2444023,38.31134554,0.237248054,426.6755287,47.62354026,0.018733812,33.69156876,3.760496381,94.58382684,847.4087415,C,NA
24114_10,Brava,Hancock,2022,WI_22,24114,10,102,Large,NA,0.000556039,NA,NA,0.150903371,271.3901094,24.2089761,0.24881807,447.4834659,39.9171383,0.021815511,39.23380756,3.49979707,70.39247888,789.1214591,C,NA
24119_1,Brava,Hancock,2022,WI_22,24119,1,71,Large,NA,0.000509604,NA,NA,0.14181547,278.2856837,29.99486412,0.221351368,434.3596434,46.81720707,0.025565023,50.16645937,5.407163285,86.31240057,800.787272,C,NA
24119_2,Brava,Hancock,2022,WI_22,24119,2,71,Large,NA,0.000516529,NA,NA,0.133418867,258.2990291,27.75922676,0.232805339,450.7113147,48.43764853,0.013058925,25.28208915,2.717049492,85.77981843,798.1794309,C,NA
24119_3,Brava,Hancock,2022,WI_22,24119,3,71,Large,0.003992028,0.000518772,7.695153718,0.81974236,0.041174717,79.36962716,8.455015701,0.064193732,123.7417744,13.18185158,0.005952781,11.47476076,1.222372913,29.8698782,280.3970069,C,NA
24119_4,Brava,Hancock,2022,WI_22,24119,4,71,Large,NA,0.000532213,NA,NA,0.141873439,266.5724885,28.53030436,0.19515693,366.6892745,39.24544753,0.014308128,26.88419568,2.877319748,75.16804825,702.3315777,C,NA
24119_5,Brava,Hancock,2022,WI_22,24119,5,71,Large,NA,0.000536203,NA,NA,0.116667658,217.5811454,25.97566948,0.195711556,364.9952784,43.57453259,0.018489028,34.48139715,4.116521097,79.21337074,663.5184495,C,NA
24119_6,Brava,Hancock,2022,WI_22,24119,6,71,Large,NA,0.000532783,NA,NA,0.128294269,240.8003376,27.72852372,0.180955538,339.642255,39.11032027,0.02262169,42.45950106,4.889275879,77.2203043,670.5973794,C,NA
24119_7,Brava,Hancock,2022,WI_22,24119,7,71,Large,NA,0.000532857,NA,NA,0.154490716,289.9287766,34.51769219,0.21842697,409.9163093,48.80289964,0.020571914,38.60678532,4.596360345,94.76284584,795.9534437,C,NA
24119_8,Brava,Hancock,2022,WI_22,24119,8,71,Large,NA,0.000545736,NA,NA,0.164627254,301.6610342,33.69647415,0.283978123,520.3581557,58.12562165,0.023444055,42.9586089,4.798609997,100.2771098,897.7110337,C,NA
24119_9,Brava,Hancock,2022,WI_22,24119,9,71,Large,NA,0.000535509,NA,NA,0.126057361,235.3971396,35.30123535,0.195384895,364.8580698,54.71579056,0.009388645,17.53217796,2.629205866,102.6638827,684.5874967,C,NA
24119_10,Brava,Hancock,2022,WI_22,24119,10,71,Large,NA,0.000515711,NA,NA,0.122901085,238.3140925,19.27163208,0.286719408,555.9696713,44.95933429,0.033685212,65.31806327,5.282044675,70.87143066,876.400121,C,NA
24129_1,Brava,Hancock,2022,WI_22,24129,1,93,Small,0.018180258,0.000530959,34.24043599,3.514131912,0.125126356,235.661171,24.18615352,0.247014982,465.2244483,47.7464738,0.028002603,52.7396985,5.412730655,81.6236672,795.3116223,C,NA
24129_2,Brava,Hancock,2022,WI_22,24129,2,93,Small,NA,0.000518847,NA,NA,0.132476438,255.3283033,25.80089154,0.23441791,451.8050769,45.65484373,0.014209749,27.38714262,2.767467168,79.92361403,790.9323881,C,NA
24129_3,Brava,Hancock,2022,WI_22,24129,3,93,Small,NA,0.000561544,NA,NA,0.073667744,131.1878609,14.02121538,0.143116507,254.862539,27.23942998,0.023598922,42.02507063,4.491593677,47.92438274,448.398879,C,NA
24129_4,Brava,Hancock,2022,WI_22,24129,4,93,Small,NA,0.000591059,NA,NA,0.074137108,125.4310827,14.62584661,0.113169383,191.4690036,22.3261748,0.010136326,17.14944569,1.999704991,46.16174376,395.8825533,C,NA
24129_5,Brava,Hancock,2022,WI_22,24129,5,93,Small,NA,0.000527942,NA,NA,0.059142442,112.0245234,13.01060289,0.096962855,183.6619746,21.33062428,0.004226493,8.005601643,0.929775917,42.57351819,366.5685689,C,NA
24129_6,Brava,Hancock,2022,WI_22,24129,6,93,Small,NA,0.000496688,NA,NA,0.056234546,113.2191109,12.93338604,0.118307098,238.1920966,27.2094553,0.015133031,30.46789705,3.480446642,49.50068168,433.3299224,C,NA
24129_7,Brava,Hancock,2022,WI_22,24129,7,93,Small,NA,0.000525917,NA,NA,0.124295106,236.339804,30.64133725,0.244559207,465.0148921,60.28894792,0.016294222,30.98250115,4.016865761,101.6475148,784.0177972,C,NA
24129_8,Brava,Hancock,2022,WI_22,24129,8,93,Small,NA,0.000510932,NA,NA,0.0559429,109.4918867,12.13903259,0.143121902,280.1193195,31.05597729,0.009701448,18.98775044,2.105114162,52.48135858,473.3723983,C,NA
24129_9,Brava,Hancock,2022,WI_22,24129,9,93,Small,NA,0.000505123,NA,NA,0.061425048,121.6040227,13.76956773,0.142854374,282.8107918,32.02346654,0.010183717,20.16084603,2.282869668,54.28179796,479.3821506,C,NA
24129_10,Brava,Hancock,2022,WI_22,24129,10,93,Small,NA,0.000522993,NA,NA,0.124571625,238.1900008,21.64163996,0.233483097,446.4366509,40.56266523,0.018371185,35.12704004,3.191598098,69.42974613,764.1505595,C,NA
24235_1,Brava,Hancock,2022,WI_22,24235,1,23,Small,0.030627402,0.000520408,58.85264495,6.659956534,0.104514561,200.8318663,22.72678656,0.215275349,413.6662823,46.81182065,0.01706782,32.79698208,3.71141306,79.12312412,699.1945228,C,NA
24235_2,Brava,Hancock,2022,WI_22,24235,2,23,Small,0.013105765,0.000549527,23.84918592,2.680194227,0.18380758,334.4834134,37.58956455,0.210649416,383.3287814,43.07885352,0.023275858,42.3561886,4.760028814,88.82841259,790.4223155,C,NA
24235_3,Brava,Hancock,2022,WI_22,24235,3,23,Small,0.016443483,0.000517808,31.75594242,3.947507919,0.136832833,264.2539709,32.84880131,0.1927038,372.1529634,46.26147606,0.025307651,48.87458002,6.075486254,89.19751447,717.5542624,C,NA
24235_5,Brava,Hancock,2022,WI_22,24235,5,23,Small,0.016102042,0.000523664,30.74878057,3.452494661,0.134692824,257.2121024,28.87995535,0.181367144,346.342315,38.88755818,0.016711434,31.91248781,3.583156526,73.7110643,656.4891664,C,NA
24235_6,Brava,Hancock,2022,WI_22,24235,6,23,Small,0.026495129,0.000528051,50.17534362,5.902342198,0.180896722,342.5744863,40.29851518,0.221985755,420.3871408,49.45195352,0.021723584,41.13919608,4.839381168,100.2442448,852.1683871,C,NA
24235_7,Brava,Hancock,2022,WI_22,24235,7,23,Small,0.016670943,0.000527609,31.59716357,3.748087219,0.181857135,344.6817486,40.88649456,0.274491522,520.2557366,61.71325703,0.024360673,46.17184426,5.476950453,112.113979,945.144423,C,NA
24235_8,Brava,Hancock,2022,WI_22,24235,8,23,Small,0.022570166,0.000540918,41.72563161,4.855552331,0.127126943,235.0205118,27.34900227,0.219377545,405.564878,47.19500731,0.037896684,70.05987739,8.152768164,84.53599736,726.4503897,C,NA
24235_9,Brava,Hancock,2022,WI_22,24235,9,23,Small,0.041140986,0.000568004,72.43074736,8.622708019,0.112881015,198.7326292,23.65864633,0.253391534,446.1083699,53.10813928,0.024074845,42.38495854,5.045828398,88.58910208,744.1484575,C,NA
24235_10,Brava,Hancock,2022,WI_22,24235,10,23,Small,0.027674232,0.00054527,50.75330111,6.701067311,0.103164546,189.199155,24.98037064,0.17536951,321.6198229,42.46415572,0.033973685,62.30621636,8.226423515,73.1041904,553.6847812,C,NA
24261_1,Brava,Hancock,2022,WI_22,24261,1,74,Control,NA,0.00052043,NA,NA,0.11332552,217.7535164,26.14827062,0.184133923,353.8109459,42.48631441,0.016977904,32.62282213,3.917412658,75.2847381,626.9445766,C,NA
24261_2,Brava,Hancock,2022,WI_22,24261,2,74,Control,NA,0.000511679,NA,NA,0.137143521,268.0262272,34.03238892,0.256812799,501.9016961,63.72851605,0.028785722,56.25733129,7.143223998,108.3633498,853.42877,C,NA
24261_3,Brava,Hancock,2022,WI_22,24261,3,74,Control,NA,0.00052568,NA,NA,0.132977537,252.9629973,32.28079562,0.312030867,593.5759194,75.74666311,0.024780741,47.14037186,6.015617799,116.066824,909.5380437,C,NA
24261_4,Brava,Hancock,2022,WI_22,24261,4,74,Control,0.020997494,0.000519768,40.39783938,6.726228115,0.081437365,156.6802957,26.08722215,0.159563587,306.9901616,51.11376964,0.011838707,22.77691722,3.792349872,89.08662555,535.0557739,C,NA
24261_6,Brava,Hancock,2022,WI_22,24261,6,74,Control,NA,0.000509789,NA,NA,0.103832889,203.678152,25.361553,0.197907314,388.21414,48.33956608,0.018552287,36.39208625,4.53146209,85.16403557,683.9507573,C,NA
24261_7,Brava,Hancock,2022,WI_22,24261,7,74,Control,NA,0.000525983,NA,NA,0.108837317,206.9217003,28.39811755,0.207942087,395.3398625,54.25679314,0.032668311,62.10905076,8.523901176,92.43960241,673.5573113,C,NA
24261_8,Brava,Hancock,2022,WI_22,24261,8,74,Control,NA,0.000528881,NA,NA,0.205290082,388.1594712,37.4093852,0.290809228,549.8578149,52.99327811,0.020616555,38.98147934,3.756891909,98.4149848,1021.153068,C,NA
24261_9,Brava,Hancock,2022,WI_22,24261,9,74,Control,NA,0.000516848,NA,NA,0.106369906,205.805023,32.63369728,0.234466676,453.6472895,71.93307581,0.020710914,40.07157994,6.353993652,120.1800865,757.917966,C,NA
24264_1,Brava,Hancock,2022,WI_22,24264,1,88,Large,NA,0.000553488,NA,NA,0.122964026,222.1620682,23.66646063,0.25312242,457.322374,48.71759632,0.023606645,42.65069376,4.543489231,43.04296626,404.0534222,C,NA
24264_2,Brava,Hancock,2022,WI_22,24264,2,88,Large,NA,0.000731075,NA,NA,0.12641343,172.9145055,16.28054245,0.253995032,347.4268946,32.71153156,0.017105691,23.39800521,2.20300903,56.59570696,601.0990551,C,NA
24264_3,Brava,Hancock,2022,WI_22,24264,3,88,Large,NA,0.000537596,NA,NA,0.180294706,335.3722901,37.26358778,0.304811006,566.9892778,62.99880865,0.026397014,49.10198047,5.455775608,113.614973,1022.534757,C,NA
24264_4,Brava,Hancock,2022,WI_22,24264,4,88,Large,NA,0.000532165,NA,NA,0.16508953,310.2221843,36.35785112,0.294653735,553.6882042,64.89192043,0.023116759,43.43904508,5.091029636,112.0954305,956.4506213,C,NA
24264_5,Brava,Hancock,2022,WI_22,24264,5,88,Large,0.014035655,0.000536064,26.18279166,2.964521548,0.109251462,203.8029802,23.07539754,0.256687022,478.8364319,54.2157971,0.025047211,46.72428297,5.290312258,88.43385054,781.0518653,C,NA
24264_6,Brava,Hancock,2022,WI_22,24264,6,88,Large,NA,0.000534233,NA,NA,0.097884657,183.2246053,20.41947141,0.231329018,433.0113562,48.25696306,0.028591397,53.51857566,5.964379206,80.32620681,720.7697613,C,NA
24264_7,Brava,Hancock,2022,WI_22,24264,7,88,Large,NA,0.000535509,NA,NA,0.131901714,246.3107737,28.07714466,0.315864902,589.8401637,67.23631027,0.021596961,40.32975769,4.59721848,107.0140359,938.7959598,C,NA
24264_8,Brava,Hancock,2022,WI_22,24264,8,88,Large,NA,0.00055132,NA,NA,0.169441165,307.3371048,33.01758588,0.306134892,555.2759952,59.65395188,0.028061313,50.89839202,5.468073992,102.6634765,955.6209151,C,NA
24264_9,Brava,Hancock,2022,WI_22,24264,9,88,Large,0.015968112,0.000514862,31.01437997,3.494825377,0.118885314,230.9073372,26.01956971,0.235790774,457.9692665,51.60582335,0.010386293,20.17298216,2.273172961,88.16699352,782.4266862,C,NA
24264_10,Brava,Hancock,2022,WI_22,24264,10,88,Large,NA,0.000550313,NA,NA,0.110142797,200.1457188,21.93964947,0.263010153,477.9282657,52.38972227,0.018672457,33.93061074,3.719418584,85.16282609,776.9027971,C,NA
24306_1,Brava,Hancock,2022,WI_22,24306,1,16,Control,NA,0.000538295,NA,NA,0.213129521,395.9345724,48.69161082,0.29904652,555.5441383,68.32022475,0.031139415,57.84825613,7.114116751,129.0190898,1049.115388,C,NA
24306_2,Brava,Hancock,2022,WI_22,24306,2,16,Control,NA,0.000541463,NA,NA,0.142926096,263.9626604,32.33794356,0.209831071,387.5259271,47.47562227,0.02422199,44.7343147,5.480380223,91.45514575,746.5144942,C,NA
24306_3,Brava,Hancock,2022,WI_22,24306,3,16,Control,NA,0.000533551,NA,NA,0.117983294,221.1283023,26.13739503,0.21300533,399.2218361,47.18807465,0.011725624,21.97656344,2.597632751,83.59402305,707.2244337,C,NA
24306_4,Brava,Hancock,2022,WI_22,24306,4,16,Control,NA,0.000638131,NA,NA,0.129643755,203.1617554,20.02653556,0.216158116,338.736427,33.39071908,0.017468636,27.37469848,2.698442783,60.47882789,613.5352168,C,NA
24306_5,Brava,Hancock,2022,WI_22,24306,5,16,Control,NA,0.000552763,NA,NA,0.193212621,349.5394095,38.87957217,0.273115167,494.0904669,54.95811186,0.023228255,42.02205146,4.674149289,104.1250576,936.1165544,C,NA
24306_6,Brava,Hancock,2022,WI_22,24306,6,16,Control,0.014446366,0.000523654,27.58760254,3.279254728,0.168399404,321.585088,38.22584505,0.237911214,454.3287963,54.00468747,0.019897541,37.9974777,4.516645048,102.5353047,862.6055211,C,NA
24306_7,Brava,Hancock,2022,WI_22,24306,7,16,Control,NA,0.000548727,NA,NA,0.165563548,301.7229649,34.90702609,0.266218581,485.1566705,56.1288948,0.018520446,33.75165532,3.904806892,99.91301425,863.6098307,C,NA
24306_8,Brava,Hancock,2022,WI_22,24306,8,16,Control,NA,0.000545622,NA,NA,0.158341041,290.2029049,31.53463318,0.268064405,491.3007295,53.38674432,0.01722639,31.57203274,3.430746055,92.81958214,854.1882259,C,NA
24306_9,Brava,Hancock,2022,WI_22,24306,9,16,Control,NA,0.000539175,NA,NA,0.124060159,230.0926833,23.87796288,0.242702381,450.1367919,46.71313078,0.010706819,19.85779028,2.060750357,79.76777821,768.6577881,C,NA
24306_10,Brava,Hancock,2022,WI_22,24306,10,16,Control,NA,0.00054022,NA,NA,0.105833264,195.9078434,21.85967978,0.248801356,460.5559268,51.38949471,0.017708554,32.7802851,3.6576715,84.373224,756.1582108,C,NA
20233_1,L1408,El Centro,2022,CA_22,20233,1,69,Large,0.052224072,0.000982085,53.17674924,7.229969553,0.673679214,685.9685481,93.26504135,0.974724049,992.5050775,134.9420864,0.088709592,90.32784255,12.28107323,243.6544353,1792.089263,B,B
20233_2,L1408,El Centro,2022,CA_22,20233,2,69,Large,0.040686166,0.001037386,39.21989809,5.18545487,0.621543563,599.1440686,79.2157726,1.0722317,1033.590085,136.6560088,0.05743981,55.36976539,7.320707947,227.0380824,1717.189847,B,B
20233_3,L1408,El Centro,2022,CA_22,20233,3,69,Large,0.029485591,0.00099867,29.52486042,3.363660813,0.608810716,609.6215346,69.45198175,0.609527581,610.3393541,69.53376034,0.039140058,39.19218495,4.465024215,153.0354062,1343.283184,B,B
20233_4,L1408,El Centro,2022,CA_22,20233,4,69,Large,0.040183529,0.001023779,39.25021219,4.714584622,0.41943249,409.6906056,49.21046081,0.905039995,884.019222,106.184991,0.056874317,55.5533348,6.672853045,169.8257211,1413.845784,B,B
20233_5,L1408,El Centro,2022,CA_22,20233,5,69,Large,0.04051304,0.000996866,40.64039788,5.27097926,0.53557161,537.2552473,69.68094344,1.013302825,1016.48827,131.8365191,0.043817674,43.95542002,5.700931079,215.6026265,1662.343199,B,B
20233_6,L1408,El Centro,2022,CA_22,20233,6,69,Large,0.067588698,0.001048569,64.45801525,8.558688921,0.706637654,673.9064642,89.48081579,1.053499885,1004.702168,133.4036315,0.083349195,79.48849204,10.55442482,234.3635334,1765.061021,B,B
20233_7,L1408,El Centro,2022,CA_22,20233,7,69,Large,0.056753022,0.001015825,55.86889465,7.094301252,0.535470361,527.1285358,66.93543259,0.824972178,812.1203489,103.124045,0.055346757,54.48453732,6.918513848,190.1595969,1497.540929,B,B
20233_8,L1408,El Centro,2022,CA_22,20233,8,69,Large,0.056952212,0.001039536,54.78621134,7.837093043,0.452723449,435.5055168,62.29847206,0.833910383,802.1951891,114.7529311,0.063840968,61.41297533,8.785042621,197.496595,1380.62546,B,B
20233_9,L1408,El Centro,2022,CA_22,20233,9,69,Large,0.046753804,0.001040072,44.9524642,5.093387746,0.492093874,473.1343804,53.6090045,1.096517689,1054.270832,119.4553009,0.090954017,87.44972247,9.908585721,189.1758169,1669.599794,B,B
20233_10,L1408,El Centro,2022,CA_22,20233,10,69,Large,0.032979293,0.00101458,32.50535959,4.336780636,0.503531231,496.2951743,66.21441292,0.853280169,841.018003,112.2064372,0.060808102,59.93425174,7.996272174,202.0525542,1514.439277,B,B
20235_1,L1408,El Centro,2022,CA_22,20235,1,79,Large,0.050248107,0.000982085,51.16473879,7.940476353,0.556481588,566.6329895,87.93821605,0.922740371,939.5731079,145.8164005,0.05742768,58.47528214,9.075031086,258.0692127,1662.878053,B,B
20235_2,L1408,El Centro,2022,CA_22,20235,2,79,Large,0.058739813,0.000997467,58.88899367,7.470267731,0.622435458,624.0162493,79.1585687,0.702796798,704.5816815,89.37856586,0.079401376,79.60303088,10.09791331,188.5244725,1486.160452,B,B
20235_3,L1408,El Centro,2022,CA_22,20235,3,79,Large,0.074093112,0.001012719,73.16259085,8.484401291,0.690060844,681.3945056,79.01885864,0.88593466,874.8083819,101.448367,0.070314105,69.43104358,8.051667239,207.170895,1786.47366,B,B
20235_4,L1408,El Centro,2022,CA_22,20235,4,79,Large,0.058428747,0.001038326,56.27203821,7.053561787,0.548934909,528.6727458,66.26783028,0.93712729,902.5362561,113.1307031,0.107515189,103.5466122,12.97931353,200.7151921,1601.269444,B,B
20235_5,L1408,El Centro,2022,CA_22,20235,5,79,Large,0.063286707,0.00103542,61.12178353,7.713959317,0.606479878,585.7333004,73.92328215,0.831142268,802.7103979,101.3071772,0.08168169,78.88750755,9.956107115,199.0556483,1577.223284,B,B
20235_6,L1408,El Centro,2022,CA_22,20235,6,79,Large,0.042231471,0.001063944,39.6933202,5.131392495,0.418386215,393.2408158,50.83658815,0.996984351,937.0646686,121.1399446,0.05685096,53.43416465,6.907753499,192.8486214,1491.759222,B,B
20235_7,L1408,El Centro,2022,CA_22,20235,7,79,Large,0.069033656,0.001040817,66.32644157,7.95281074,0.68889788,661.882159,79.36236918,1.268535777,1218.789058,146.1377767,0.081463252,78.268601,9.384724341,244.1487673,2036.200719,B,B
20235_8,L1408,El Centro,2022,CA_22,20235,8,79,Large,0.04137807,0.001027693,40.26306414,3.824379193,0.487947265,474.7986602,45.09865693,0.787483586,766.2634434,72.78338178,0.044150593,42.96087715,4.080630429,135.7024201,1428.675079,B,B
20235_9,L1408,El Centro,2022,CA_22,20235,9,79,Large,0.050516167,0.0010068,50.17500161,6.213381028,0.345460481,343.1273829,42.4909039,0.709774476,704.980952,87.30075001,0.061481861,61.06663753,7.562138015,154.8589811,1250.534868,B,B
20235_10,L1408,El Centro,2022,CA_22,20235,10,79,Large,0.067797312,0.001026716,66.03318404,8.499581661,0.734418547,715.308524,92.07224066,0.962694534,937.6446292,120.6906378,0.076274378,74.28967171,9.562330524,237.2116004,1842.895085,B,B
20242_1,L1408,El Centro,2022,CA_22,20242,1,76,Large,0.053220725,0.001049828,50.69471237,6.379239653,0.535177139,509.7760496,64.14837835,0.875664577,834.1029464,104.9605046,0.088230312,84.04264048,10.57562258,197.4920044,1569.434745,B,B
20242_2,L1408,El Centro,2022,CA_22,20242,2,76,Large,0.060646006,0.001066658,56.85608374,7.708636268,0.476450361,446.6757745,60.56099627,0.739963498,693.7213093,94.05581414,0.066589635,62.42828082,8.464123415,182.4873309,1345.959857,B,B
20242_3,L1408,El Centro,2022,CA_22,20242,3,76,Large,0.050776307,0.00097687,51.97856706,7.080802162,0.380620239,389.6324024,53.07783792,0.849537255,869.6522337,118.4687413,0.065660548,67.21523039,9.156423033,202.9986519,1490.167187,B,B
20242_4,L1408,El Centro,2022,CA_22,20242,4,76,Large,0.037887276,0.00103281,36.68368101,4.575387112,0.334346419,323.7249761,40.37673,0.634330843,614.1795615,76.60379691,0.032584519,31.54938123,3.935009472,137.7703575,1104.589343,B,B
